Pair	RSA-0000108205	RSA-0000108206	RSA-0000108207	RSA-0000108208	RSA-0000108209	RSA-0000108210	RSA-0000108211	RSA-0000108212	RSA-0000108213	RSA-0000108214	RSA-0000108215	RSA-0000108216	RSA-0000108217	RSA-0000108218	RSA-0000108219	RSA-0000108220	RSA-0000108221	RSA-0000108222	RSA-0000108223	RSA-0000108224	RSA-0000108225	RSA-0000108226	RSA-0000108227	RSA-0000108228	RSA-0000108229	RSA-0000108230	RSA-0000108231	RSA-0000108232	RSA-0000108233	RSA-0000108234	RSA-0000108235	RSA-0000108236	RSA-0000108237	RSA-0000108238	RSA-0000108239	RSA-0000108240	RSA-0000108241	RSA-0000108242	RSA-0000108243	RSA-0000108244	RSA-0000108245	RSA-0000108246	RSA-0000108247	RSA-0000108248	RSA-0000108249	RSA-0000108250	RSA-0000108251	RSA-0000108252	RSA-0000108253	RSA-0000108254	RSA-0000108255	RSA-0000108256	RSA-0000108257	RSA-0000108258	RSA-0000108259	RSA-0000108260
RSA-0000108205	100	97.08	97.37	96.81	98.19	97.72	97.51	97.31	98.76	97.3	97.74	96.96	97.86	97.91	97.86	97.55	98.08	97.64	97.31	97.89	97.82	97.71	98.23	98.25	76.77	97.8	97.58	98.17	96.9	98.11	98.25	96.78	95.88	98.04	97.12	98.23	97	96.66	97.66	98.15	96.82	97.31	96.52	97.63	94.96	97.69	96.23	97.36	97.74	97.53	97.2	98.05	97.61	97.12	96	95.8
RSA-0000108206	97.87	100	97.64	96.36	98.26	98.28	97.44	97.15	98.5	97.62	97.66	97.62	98.25	97.44	96.99	97.65	98.51	97.38	97.61	98.05	98.04	99.14	98.27	97.42	78.98	98.04	97.57	98.91	96.43	97.11	97.02	97.56	96.53	97.21	96.86	97.72	97.15	96.66	97.43	97.34	97.64	97.25	96.1	97	95.83	97.93	95.37	96.22	96.87	97.06	96.97	98.16	97.65	97.28	95.8	96.62
RSA-0000108207	97.4	97.11	100	96.58	97.48	96.97	97.55	96.76	97.76	97.14	97.95	96.37	95.99	97.19	96.82	96.63	97.58	98.08	96.22	97.16	96.93	97.38	97.35	95.67	77.39	97.28	96.65	97.69	95.28	97.21	96.52	96.84	95.65	96.89	95.91	97.34	95.81	96.08	96.27	97.05	96.03	97.76	95.33	95.69	95.05	96.98	94.59	95.99	96.25	96.97	95.85	96.94	96.66	97.39	95.64	95.85
RSA-0000108208	98.61	96.94	97.02	100	97.32	97.6	97.79	97.38	98.41	97.58	98.21	97.38	97.39	96.84	98.81	97.02	98.41	97.14	98	98.2	98.37	97.8	97.6	97.61	77.51	97.94	97.94	97.97	96.2	97.68	98.28	97.08	96.28	98.05	96.38	97.63	97.56	97.11	98.03	96.87	97.78	96.98	96.58	98.02	95.84	97.64	96.77	97.31	98.3	96.99	97.54	97.66	97.35	96.77	96.21	96.54
RSA-0000108209	98.08	97.18	96.8	96.8	100	97.66	97.24	96.77	98.73	96.79	97.46	96.98	97.43	98.09	97.21	97.42	98.52	97.63	96.98	97.44	98.06	98.28	98.09	97.03	77.67	97.62	97.15	97.83	96.45	97.79	97.3	97.13	96.57	96.57	97.22	97.09	96.99	96.29	98.18	97.35	97.69	97.76	96.2	97.26	95.98	97.53	95.89	96.74	97.34	97.51	97.47	98.17	97.67	97.33	95.87	96.9
RSA-0000108210	98.04	97.37	97.21	97.22	98.18	100	97.4	96.36	98.42	98	98.81	96.98	97.57	98.42	98.01	97.82	98.23	98.16	98.39	97.4	97.77	98.21	97.81	98.21	78.21	98.37	97.53	98.17	96.65	97.1	97.43	97.93	97.17	97.84	96.65	97.66	98.23	98.15	98.03	98.13	97.13	97.26	96.62	97.4	94.98	98.09	95.17	96.25	97.9	97.88	96.94	97.86	97.8	97.08	96.27	95.94
RSA-0000108211	98.66	97.81	97.86	97.67	97.59	97.67	100	98.42	98.26	97.86	97.5	97.67	97.27	97.49	98.04	97.5	98.47	97.81	97.64	98.45	98	97.68	97.85	97.67	77.22	98.19	98.18	98.02	97.12	98.35	98.51	97.54	97.01	97.62	97.55	97.64	98.25	96.93	97.67	96.96	97.87	98.1	96.44	97.59	95.92	97.24	96.18	97.38	97.73	97.9	97.19	98.1	98.02	97.27	96.55	97.74
RSA-0000108212	97.99	96.44	96.98	96.55	97.08	96.35	97.18	100	97.4	96.77	96.8	96.73	96.53	97.17	96.75	96.38	97.6	96.46	96.71	96.77	97.32	96.97	97.16	97.39	76.07	96.87	97.47	97.1	96.34	97.04	97.35	96.81	94.9	96.66	96.13	97.15	95.5	95.57	96.02	96.22	95.38	97.61	95.28	96.91	94.01	96.29	95.37	96.6	96.56	96.97	95.08	96.74	95.77	96.77	95.57	95.19
RSA-0000108213	98.66	97.62	97.12	97.3	98.43	97.87	97.31	97.11	100	96.48	98.09	97.06	97.44	97.7	98.06	98.1	99.04	97.4	97.84	98.46	98.81	98.06	98.44	97.87	77.74	97.59	97.54	98.81	95.73	97.95	98.06	97.77	96.56	97.64	96.64	97.46	97.82	96.75	98.5	97.18	97.41	98.32	96.87	96.77	96.6	97.26	96.6	96.95	97.92	97.67	98.26	97.88	97.42	96.66	95.89	95.76
RSA-0000108214	97.99	96.46	97.37	97.17	97.94	97.75	96.97	97.15	97.59	100	97.4	97.13	97.52	97.19	97.97	96.6	97.19	97.33	97.15	97.78	97.53	98.17	97.18	97.78	77.84	97.09	97.08	97.72	95.97	97.26	97.18	96.83	96.53	97.17	96.42	96.76	96.91	96.65	97.84	97.7	97.37	96.97	95.93	97.57	95.66	97.2	95.68	97.08	97.46	96.34	96.44	97.41	96.66	97.21	96.03	96.13
