Sample	Uniq_Mapped_Reads	Gene_Rate	Ambiguity_Rate	No_Feature_Rate
RSA-0000108205	21152516	85.20	 2.87	11.93
RSA-0000108206	15895654	85.52	 2.89	11.59
RSA-0000108207	18417874	85.28	 2.89	11.82
RSA-0000108208	17345822	85.44	 2.93	11.64
RSA-0000108209	16275026	84.83	 2.90	12.27
RSA-0000108210	16919800	84.65	 2.83	12.52
RSA-0000108211	19122607	85.25	 2.92	11.83
RSA-0000108212	17339531	85.21	 2.89	11.90
RSA-0000108213	18816650	84.53	 2.84	12.63
RSA-0000108214	17104996	84.34	 2.84	12.82
RSA-0000108215	19390459	83.85	 2.79	13.36
RSA-0000108216	16496092	85.31	 2.88	11.81
RSA-0000108217	17273482	84.71	 2.89	12.41
RSA-0000108218	20004452	83.93	 2.77	13.30
RSA-0000108219	18397708	84.35	 2.85	12.80
RSA-0000108220	18582499	85.58	 2.91	11.51
RSA-0000108221	20156502	84.70	 2.81	12.49
RSA-0000108222	15893192	84.22	 2.79	12.99
RSA-0000108223	15826613	84.02	 2.77	13.21
RSA-0000108224	17632911	84.13	 2.83	13.04
RSA-0000108225	15860158	84.81	 2.86	12.33
RSA-0000108226	18060991	83.71	 2.75	13.54
RSA-0000108227	17899967	84.09	 2.82	13.09
RSA-0000108228	18199059	84.34	 2.84	12.82
RSA-0000108229	9030569	85.50	 2.82	11.68
RSA-0000108230	16087344	84.29	 2.75	12.96
RSA-0000108231	16385758	84.94	 2.74	12.32
RSA-0000108232	15199663	84.50	 2.78	12.72
RSA-0000108233	13427684	86.01	 2.80	11.19
RSA-0000108234	14991822	84.26	 2.69	13.06
RSA-0000108235	15344803	85.24	 2.77	11.99
RSA-0000108236	15007939	85.51	 2.79	11.70
RSA-0000108237	15817656	85.28	 2.87	11.85
RSA-0000108238	13062475	84.75	 2.85	12.41
RSA-0000108239	13747642	86.48	 2.92	10.60
RSA-0000108240	13555918	84.48	 2.84	12.68
RSA-0000108241	14707142	85.60	 2.93	11.47
RSA-0000108242	14392282	83.82	 2.71	13.47
RSA-0000108243	16239572	85.65	 2.91	11.44
RSA-0000108244	15262558	85.67	 2.88	11.46
RSA-0000108245	15876452	87.52	 3.07	 9.41
RSA-0000108246	13166025	85.93	 2.91	11.15
RSA-0000108247	13279987	87.57	 3.09	 9.34
RSA-0000108248	12729180	86.37	 2.99	10.64
RSA-0000108249	11825725	88.64	 3.16	 8.20
RSA-0000108250	13831785	86.55	 2.91	10.54
RSA-0000108251	12913216	88.69	 3.15	 8.16
RSA-0000108252	12354076	87.21	 2.97	 9.82
RSA-0000108253	16647382	87.93	 3.12	 8.95
RSA-0000108254	13842939	87.46	 3.06	 9.48
RSA-0000108255	15022758	87.95	 3.17	 8.88
RSA-0000108256	13704239	86.83	 3.05	10.12
RSA-0000108257	14477004	87.77	 3.18	 9.05
RSA-0000108258	15048379	86.72	 2.99	10.29
RSA-0000108259	14112324	87.61	 3.16	 9.22
RSA-0000108260	11818778	87.67	 3.07	 9.26
