SAMPLE_ID	SUBJECT_ID	RS_GROUP_NAME	RS_SAMPLE_ID	project_name	created_date	studyTitle	createdBy	isPrivate	allowedUsers	projectCode	species	cellLineName	groupName	subjectName	biospecimenReasId	biospecimenName	materialName	sampleName	sampleReasId
RSA-0000108205	RSA-0000108205	Vav1_Combined	23001	20210311_Vav1	2021-05-06T16:51:03	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_1	RBI-0000093502	Plate-1_no stim_DMSO	T cell	RSA-0000108205	RSA-0000108205
RSA-0000108206	RSA-0000108206	Vav1_Combined	23002	20210311_Vav1	2021-05-06T16:51:19	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_2	RBI-0000093503	Plate-1_no stim_cpd1674	T cell	RSA-0000108206	RSA-0000108206
RSA-0000108207	RSA-0000108207	Vav1_Combined	23003	20210311_Vav1	2021-05-06T16:51:32	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_3	RBI-0000093504	Plate-1_no stim _DMSO_replicate	T cell	RSA-0000108207	RSA-0000108207
RSA-0000108208	RSA-0000108208	Vav1_Combined	23004	20210311_Vav1	2021-05-06T16:51:47	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_4	RBI-0000093505	Plate-1_no stim_cpd1674_replicate	T cell	RSA-0000108208	RSA-0000108208
RSA-0000108209	RSA-0000108209	Vav1_Combined	23005	20210311_Vav1	2021-05-06T16:52:01	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_5	RBI-0000093506	Plate-2_no stim_DMSO	T cell	RSA-0000108209	RSA-0000108209
RSA-0000108210	RSA-0000108210	Vav1_Combined	23006	20210311_Vav1	2021-05-06T16:52:15	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_6	RBI-0000093507	Plate-2_no stim _cpd1674	T cell	RSA-0000108210	RSA-0000108210
RSA-0000108211	RSA-0000108211	Vav1_Combined	23007	20210311_Vav1	2021-05-06T16:52:31	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_7	RBI-0000093508	Plate-2_no stim_DMSO_replicate	T cell	RSA-0000108211	RSA-0000108211
RSA-0000108212	RSA-0000108212	Vav1_Combined	23008	20210311_Vav1	2021-05-06T16:52:49	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	No Stimulation	Donor 636_8	RBI-0000093509	Plate-2_no stim_cpd1674_replicate	T cell	RSA-0000108212	RSA-0000108212
RSA-0000108213	RSA-0000108213	Vav1_Combined	23009	20210311_Vav1	2021-05-06T16:53:06	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	Anti-CD3_CD28 stimulation	Donor 636_9	RBI-0000093454	Plate-1_10min_stim_DMSO	T cell	RSA-0000108213	RSA-0000108213
RSA-0000108214	RSA-0000108214	Vav1_Combined	23010	20210311_Vav1	2021-05-06T16:53:23	20210311_Vav1	jjussif	False	NA	HD-IN02100	Homo sapiens	NA	Anti-CD3_CD28 stimulation	Donor 636_10	RBI-0000093455	Plate-1_10min_stim_cpd1674	T cell	RSA-0000108214	RSA-0000108214
