Sample	Total_reads	Uniq_Rate	Multi_Rate	Unmap_Rate
RSA-0000108205	24508056	86.31	5.30	 8.39
RSA-0000108206	18501369	85.92	5.28	 8.80
RSA-0000108207	21569019	85.39	5.44	 9.17
RSA-0000108208	20196379	85.89	5.30	 8.81
RSA-0000108209	18933641	85.96	5.31	 8.73
RSA-0000108210	19691666	85.92	5.41	 8.67
RSA-0000108211	22270458	85.87	5.44	 8.69
RSA-0000108212	20414888	84.94	5.09	 9.97
RSA-0000108213	22233427	84.63	5.23	10.14
RSA-0000108214	20133318	84.96	5.19	 9.85
RSA-0000108215	22526677	86.08	4.89	 9.03
RSA-0000108216	19188749	85.97	4.19	 9.84
RSA-0000108217	20111716	85.89	5.37	 8.74
RSA-0000108218	23335897	85.72	5.26	 9.02
RSA-0000108219	21185132	86.84	4.81	 8.35
RSA-0000108220	21835705	85.10	5.37	 9.53
RSA-0000108221	23914680	84.29	5.25	10.46
RSA-0000108222	18697000	85.00	5.17	 9.83
RSA-0000108223	18619740	85.00	5.13	 9.87
RSA-0000108224	20572167	85.71	5.28	 9.01
RSA-0000108225	18967716	83.62	5.29	11.09
RSA-0000108226	21032900	85.87	4.28	 9.85
RSA-0000108227	21002206	85.23	5.11	 9.66
RSA-0000108228	21556269	84.43	5.10	10.47
RSA-0000108229	10671710	84.62	4.86	10.52
RSA-0000108230	19213299	83.73	4.83	11.44
RSA-0000108231	19560385	83.77	4.95	11.28
RSA-0000108232	17928582	84.78	5.14	10.08
RSA-0000108233	17245462	77.86	4.57	17.57
RSA-0000108234	19336995	77.53	4.69	17.78
RSA-0000108235	19524164	78.59	4.51	16.90
RSA-0000108236	19372272	77.47	4.47	18.06
RSA-0000108237	20111029	78.65	4.56	16.79
RSA-0000108238	16982274	76.92	4.83	18.25
RSA-0000108239	17988338	76.43	4.64	18.93
RSA-0000108240	17268879	78.50	4.87	16.63
RSA-0000108241	19016132	77.34	4.69	17.97
RSA-0000108242	18938136	76.00	4.49	19.51
RSA-0000108243	21019053	77.26	4.66	18.08
RSA-0000108244	19894437	76.72	4.81	18.47
RSA-0000108245	20387980	77.87	4.70	17.43
RSA-0000108246	17285067	76.17	5.12	18.71
RSA-0000108247	17387015	76.38	4.84	18.78
RSA-0000108248	16460278	77.33	5.11	17.56
RSA-0000108249	15209788	77.75	4.42	17.83
RSA-0000108250	18264363	75.73	5.00	19.27
RSA-0000108251	17320931	74.55	4.74	20.71
RSA-0000108252	16362922	75.50	4.88	19.62
RSA-0000108253	21954947	75.83	5.24	18.93
RSA-0000108254	17915387	77.27	4.40	18.33
RSA-0000108255	19502865	77.03	5.56	17.41
RSA-0000108256	18136955	75.56	5.69	18.75
RSA-0000108257	18783611	77.07	5.42	17.51
RSA-0000108258	19639405	76.62	5.64	17.74
RSA-0000108259	18051440	78.18	5.30	16.52
RSA-0000108260	15903284	74.32	5.39	20.29
